# leave empty if ALL available programs are to be processed (auto populated list)
# else, each row must contain a csv list of the programId,productId to processed
# ex) P552,TFC
U611N,CTV
U611C,CTU
U625S,CTX
C346NA_CDH,CDH
U625N,CTW
U625C,CTZ
U625E,CTY
B479_CE1,CE1
P473,TFA
B479_CE3,CE3
CD539E-CD390,CDR
P552,TFC
B460,C4A
B500FSAO,CE2
CD539N,CDQ
B479_CE5,CE5
P558,TFE
B562_DS,CDS
P702,TFD
B479_CE7,CE7
P375TFG,TFG
B500CH,CE6
B562_DU,CDU
B500RUS,CE9
C520SA_CDX,CDX
B479_CE8,CE8
CD622N,CDZ
U725N,TG1
J73M,TG4
H623/5E,AAA
J73S,TG3
B680,CEE
CD539C,CED
B299EG,CEG
U502_TWJ,TWJ
B299EH,CEH
B516EK,CEK
BX738A,CEJ
B516EM,CEM
BX755,CEL
BX563S,CEN
BX563A,CEP
C346CH_CF1,CF1
BX563E,CES
C346AP_CF3,CF3
C344E_CEU,CEU
U540C,CET
C346EU_CEW,CEW
BX726_CF7,CF7
CX742,CEV
CDX706N,CEY
D471,TP3
CDX706A,CEZ
D472,TP4
CD391C,CNH
CD391E,CNG
C490,CFD
P758N,CFE
CDX707A,CFG
CD542_CNT,CNT
CD391A,CNS
CD542_CNV,CNV
F5X,TY3
C519EU_CGE,CGE
C519SA_CGG,CGG
C519NA_CGF,CGF
PLATFORM_C2,CP2
C519AP_CGH,CGH
C484N,CGM
PLATFORM_CD6,CP6
C727,CGW
CX727C,CGY
D568C,CPC
10D258,CPH
TIGER,MTA
D568N,CPJ
CX430_CHD,CHD
D544N,CPL
H566_MCA,HJA
V408,CHC
CX430_CHF,CHF
CX430_CHE,CHE
P703A,TRA
P703S,TRC
P703M,TRB
V713,CHL
U228-U418,TB5
P703N,TRD
U222-U354,TB7
U554,TB9
U553,TB8
H567,TBC
23LGTDI,CZ2
NDE,CZ1
E240,CYS
FOX,CZ4
DRAGON,CZ3
E265,CYT
PIRANHA,CZ5
B515_RUS,CR1
B515_E,CR6
WERS,WERS
P375AAT,TKD
P375FSAO,TKF
S197,CZF
P375FMCSA,TKE
S550,CZG
S650N,CZJ
B232,CB2
B299EU,CB1
H476_MCA,HTC
B299B6,CB6
V348,TT6
JH476,HTF
Z123,CZZ
H623_5E,HTQ
H623E,HTP
H625S,HTS
V363,TTG
H623S,HTR
V362,TTF
H534,HDE
V362CH,TTI
V363NA,TTH
B299C3,CC3
V363MCA,TTS
B515,CBQ
H625A,HUB
V710,TTU
H623A,HUA
C520EU_CBS,CBS
CD391N,CC7
H623_5J,HUC
C520NA,TM2
B515_C,CBX
CD533,CC9
B515_I,CBW
V711,TTX
B515_BY,CBY
U502,TUB
VN127,TE4
C344N,CCG
B409,CCH
C520CH_CCK,CCK
B299CM,CCM
C489N,TME
B299AS,CCL
U502_TUM,TUM
B299CN,CCN
C346CH_CD2,CD2
U375CH,TEB
U375FSAO,TEA
CX482E,CTD
U375FMCSA,TED
C346AP_CD3,CD3
CX482N,CTC
U375APA,TEC
CX483,CTF
B299CT,CCT
CX482A,CTE
CX483C,CTG
C346SA_CD7,CD7
U540,CD9
U704C,TEL
C520TW_CCZ,CCZ
U704A,TEK
D385,CLE
U704M,TEM
